SL,Time,BP,Circulation,HR,EEG
3.35E+05,19509,279,11582,495,-11189
14972,7402.9,70,971,131,-2726.7
65.191,2379.4,92,5,33,-323
1.10E+05,15503,179,4063,329,-9131
26648,9254.3,27,1364,156,-1900
4189.5,7090.9,71,249,101,-2289
30238,9576.2,118,1747,171,-3225.9
7767.6,6740.2,65,431,107,-2012.8
1492.6,4034.1,41,133,52,-926.47
2.03E+05,18334,51,7459,390,-9720
1.31E+05,14416,66,5736,328,-7885
47128,13006,58,2061,273,-5839
4.80E+05,26416,105,15869,567,-11741
26618,9791.2,32,1415,174,-3345
1.05E+05,16155,58,3632,292,-23371
10506,10465,36,587,154,-1510
4194.7,4681.3,11,317,79,-1900
9882.4,8545.8,12,621,123,-2404.5
1.46E+05,14500,155,6057,308,-6137.4
96400,14287,62,3221,284,-5843
4095.3,5150.9,14,292,79,-2340
26132,8414.7,30,1364,156,-3500
4226.3,5203,14,292,88,-1160
2254.7,4360.3,22,165,54,-997.98
38697,10176,20,2118,193,-4069.7
4309,5313.2,24,340,72,-1250.5
20355,7411.9,28,1163,179,-3594
1.79E+05,16474,73,6976,347,-8595
59666,13478,48,2538,243,-5929
2.56E+05,21031,80,8870,540,17300
16945,8157.6,75,844,142,-2808.1
25088,8398.7,24,1519,157,-3279.4
2792.5,4956.8,52,224,67,-1277.6
73775,11645,20,3630,249,-4660
13448,6761.2,19,804,96,-1541.9
62082,13876,56,2822,223,-2730
16648,7973.2,90,890,133,-2937
2.23E+05,22656,82,7707,451,-12356
2.80E+05,23068,66,9276,468,-9632.7
1.61E+05,18843,97,6290,388,-10900
38714,10441,35,2118,193,-3865
1.07E+05,18329,51,3891,359,-6870
51884,9056,31,2599,188,-3190
40864,13632,43,1581,234,-2060
2.51E+05,13758,40,9949,346,-9178
13048,8019,15,806,132,-2713.2
52849,12085,93,2534,209,-4245
23777,9331.7,31,1258,146,-2810
1.42E+05,13594,148,6057,308,-5926.7
32079,11464,40,1521,188,-5161
3.45E+05,21364,74,11581,518,-12874
49372,13346,53,1813,274,-3259
4.76E+05,25352,53,15505,483,-11600
18263,9908.1,30,1018,165,-4163
28738,8817.6,325,1416,178,-3393
7042,5646.1,47,545,93,-1673.8
7646.2,5613,73,457,104,-1898.5
4621.9,8211,26,271,131,-2623.6
45915,9642.8,63,2254,229,-4686
2.20E+05,17292,182,8347,459,-16166
1.76E+05,19120,66,6185,405,-10090
3.39E+05,21196,117,11563,462,-8760
8210,6925.9,9,552,101,-3273
1.61E+05,16613,76,6744,352,-7602
30597,9472.5,125,1747,171,-3273.2
85051,10754,23,3450,220,-2850
1.52E+05,15531,65,5846,315,-6446
90443,12522,47,3885,254,-5230
4249.6,5492.6,14,292,88,-1550
38360,10627,40,1997,196,-3830
1.61E+05,18257,88,6290,388,-9210
17395,9263.5,30,931,183,-4181.2
79039,12790,54,3539,272,-4920
34714,8372.1,32,1928,178,-2669
4091.4,7101.2,69,249,101,-2246.9
1.76E+05,18631,72,6746,403,-4810
8032,8447.4,49,458,146,-2235
1.60E+05,17808,81,6290,388,-9570
1.94E+05,15793,66,7459,390,-9760
5140.2,5913,20,343,85,-1380
1.44E+05,16746,49,5844,315,-3720
50506,11419,23,2677,216,-5310
2245.5,4096.9,20,165,54,-1124.2
65233,12179,31,2192,224,-6074
29027,11449,31,1111,166,-1110
27400,10527,41,982,188,-4357
10786,8553,34,654,156,-3157.3
2.45E+05,20587,81,8870,540,-11500
13806,7263.7,84,809,120,-2337.5
99194,13677,48,4061,296,-8587
1.44E+05,16267,179,5847,362,-7497.7
1.47E+05,13906,70,6061,333,-8413
22526,8486.8,111,1307,151,-4336
6920,4808.3,6,484,83,-1776
52.021,2432.6,92,5,33,-315
32482,9611.3,69,1922,176,-3460.8
10648,9022.7,89,587,139,-2699.2
1473.2,3949.6,41,133,52,-998.59
12086,6826.4,23,765,105,-1572.3
75350,13305,43,3217,264,-4950
52698,11987,76,2192,224,-3170
5.16E+05,22054,143,18067,540,-11542
1.44E+05,16530,190,5847,362,-7519.9
29962,9410.2,117,1747,171,-3162.5
5.15E+05,21568,126,18067,540,-12677
4058.6,7050.6,75,249,101,-2286.2
4.01E+05,18407,80,14125,473,-8330
9104,7968.8,23,491,123,-967
3883.9,6642.8,76,249,101,-2301.7
11656,6260.6,17,765,105,-1851
57335,13678,55,2405,287,-5957
3200.2,4917.9,37,249,71,-1137.6
1.05E+05,13784,65,4812,321,-7044
1833,6303.7,19,117,91,-1291
86111,10241,20,3450,220,-3120
7680.2,5756.4,72,457,104,-1754.8
52402,9380.9,16,2599,188,-2320
61674,15121,154,2610,305,-6710.2
46598,13107,59,2061,273,-5727.1
1.26E+05,13272,70,5215,313,-6280
12056,8615.4,88,693,128,-2566.2
1.41E+05,14433,53,5844,315,-3800
37818,10320,126,1751,205,-4179
1.37E+05,17311,71,5537,449,-6180
69953,14326,76,2192,224,-3060
1.63E+05,18681,93,6290,388,-11100
4.72E+05,24502,44,15505,483,-12600
4.34E+05,22239,103,14148,507,-11925
1114,3294.9,11,83,35,-289
25093,8157.2,41,1463,150,-1704
38684,9935.1,32,2118,193,-3970.2
74190,9800.2,38,3534,218,-5107
4361.6,5877.1,23,340,72,-1201
3794,4857.4,13,317,79,-1010
20350,8919.6,81,1162,163,-3372
71613,12666,29,3211,262,-5664.7
21100,8091.1,77,1156,145,-2890.5
1.60E+05,18423,90,6290,388,-9440
5774,6272.4,62,399,89,-1963
2.74E+05,24755,108,8350,537,-10800
7375.1,5974.5,52,545,93,-1660.9
4370.7,5471.8,17,292,88,-1070
60798,12900,30,2754,247,-5840
4148.3,5707.8,127,318,88,-1546.1
4167.8,5400.1,11,317,79,-1130
50179,11608,19,2677,216,-4280
5.16E+05,22213,139,18067,540,-11560
2176.7,4014.9,20,165,54,-1127.7
50278,11461,27,2677,216,12000
2.80E+05,23159,80,9276,468,-8307
1.11E+05,14966,96,4240,316,-9591
10106,9027.7,88,490,130,-2623.9
81599,12926,62,3292,265,-6817
1.97E+05,18685,57,7459,390,-7850
1.45E+05,13982,139,6057,308,-6290.7
37850,9399.5,39,2054,180,-3790.7
27282,9295.6,96,1403,158,-2957
2.39E+05,24608,96,8350,537,-10100
27664,9454.5,101,1403,158,-2981.1
4639.3,6119.7,15,292,88,-905
1.39E+05,14735,46,5743,346,-8991
2.45E+05,20785,74,8870,540,-13700
8810.4,7547.2,27,516,102,-768
12177,8653.8,80,693,128,-2449.3
35392,8862.2,87,2054,181,-1897
14045,7236.2,97,809,120,-2367.8
1.16E+05,16313,55,4426,271,-4260
7126.4,5488.5,53,545,93,-1689.9
1.15E+05,15699,53,4426,271,-5030
1.24E+05,12916,41,4519,249,-5281
9794.7,8129.9,26,554,138,-2837
1.58E+05,14492,52,6280,332,-5479
35946,10759,40,1111,166,-281
1458,4834.2,6,102,78,-1637
1.23E+05,13530,46,5423,366,-8247
2.13E+05,20736,333,7968,471,-14032
2044.9,3675.5,9,161,43,-566.97
33057,9454,88,1922,176,-3588
1729.9,5846.2,20,147,76,-1376.5
26053,8471.9,40,1364,156,-3230
2889,5006.4,52,224,67,-1267.9
12630,9505,88,619,136,-2512.8
53069,12363,93,2534,209,-4234.7
89121,16461,180,3719,339,-7368
46730,13719,65,2061,273,-5744.4
71.562,2930.2,6,5,33,-227
1.18E+05,14998,287,4722,353,-9850
2975.8,4756.2,47,224,67,-1311.2
2.82E+05,20081,76,9274,457,-9354
38910,10341,27,2118,193,-3988.3
4110.3,4721.7,19,340,72,-1461.8
2.32E+05,19186,58,8744,487,-14607
86901,10922,20,3450,220,-2440
24634,8549.8,24,1521,181,-4353
50670,12731,24,2188,215,-4650
10501,10566,36,587,154,-1710
1.61E+05,16248,72,6744,352,-7644.9
27185,8200.6,36,1414,166,-3330
1.13E+05,13797,191,4434,322,-8374
2.67E+05,24802,68,8870,540,-9980
13970,6826.5,88,809,120,-2520.4
3854,4737.4,18,317,79,-1340
4.82E+05,25999,88,15505,483,-12100
40076,9851.4,97,2181,159,-3062.3
1.36E+05,20334,102,4922,359,-6290
5.53E+05,29793,110,16421,654,-20168
2172.4,3778.4,6,161,43,-569.85
1486.8,3854.9,42,133,52,-980.1
4139,5173.9,11,317,79,-1170
8410,6824.4,29,519,106,-2171
1.17E+05,15478,60,4426,271,-5730
51.665,2417.6,96,5,33,-512
53151,9394.4,12,2599,188,-2730
34168,10201,78,1922,176,-3426.2
2238.3,3871.9,21,165,54,-1113.5
44295,10529,24,1467,169,-4477
11976,8429.5,90,693,128,-2613.1
1902,5137,8,166,76,-1715
1.90E+05,17719,199,6519,336,-10948
80724,12446,143,3627,266,-6302
2.02E+05,20683,91,6746,403,-5740
4129.4,6062.3,126,318,88,-1496.8
23982,8608.5,20,1309,156,-4126
80887,12627,42,3539,272,-5450
1.04E+05,13016,85,4431,309,-7152
10519,8632.5,96,587,139,-2883
1.62E+05,18314,81,6290,388,-11300
9814.8,7891.1,15,621,123,-2403.4
2.69E+05,22928,104,8479,460,-4912
2.66E+05,24582,70,8870,540,-6890
27968,10060,31,1521,194,-2730
29601,10718,74,1469,214,-4302.6
58910,12532,52,2261,206,-6963
12825,7950.1,15,806,132,-2716.5
3906.9,4874.6,19,340,72,-1359.5
16050,8383.1,8,892,169,-3858
92585,14025,50,3885,254,-5580
21607,8519.5,82,1156,145,-2870
70045,14760,100,2675,243,-5125
36478,8174.6,15,1925,144,-2661
12834,7848.4,15,806,132,-2773.1
50.185,2318.9,92,5,33,-522
80079,12835,62,3539,272,-6380
92170,11523,104,4246,271,-7301
49929,10350,44,2530,255,-5396
9212.4,7961.8,23,516,102,-912
2.44E+05,19954,98,8350,537,-11900
4104.2,4585.1,15,317,79,-1370
2162.4,3949.5,30,165,54,-988.97
50680,10931,23,2677,216,-4540
1975.5,4159.1,5,166,63,-1071.7
52241,11982,37,1637,214,-4987
28472,8990.4,36,1626,179,-3398
9491.9,7553.8,72,517,107,-1894.6
1.13E+05,12215,42,4905,235,-3110
85707,13570,164,3803,305,-6552
1.48E+05,20059,88,5537,449,-9400
1.45E+05,18962,100,5539,491,-12470
1.15E+05,15946,52,4426,271,-4470
9240.4,8125.5,18,554,138,-2994.7
25490,7817.9,29,1364,156,-2430
9894.1,8353.2,21,621,123,-2370.5
25206,8930.7,37,1519,157,-3118.7
16015,9185,71,971,132,-2907
52325,9894.6,32,2599,188,-3320
30878,9645.9,46,1687,174,-3372
43303,11110,20,1885,196,-3370
33051,9577.2,96,1922,176,-3587.9
7621.1,5637.9,76,457,104,-1902.7
90598,12300,51,3885,254,-4360
13967,7182.6,91,809,120,-2402.3
11316,5792.8,25,764,102,-1952.9
68833,11505,146,3373,247,-5254.8
1358,4222.7,4,117,63,-1940
54103,12503,83,2186,199,-5672
54756,12472,29,2677,216,-4730
1.52E+05,18696,76,5537,449,-8900
74357,12917,24,3630,249,-3310
39857,8318,25,2178,166,-4819
7182.9,5619.4,48,545,93,-1670.7
9178,8126.8,26,516,102,-976
13973,7338.2,88,809,120,-2389.5
2.43E+05,24605,92,8350,537,-6760
4.11E+05,21486,61,14125,473,-9480
28817,10200,23,1521,194,-2610
26707,9182.8,31,1364,156,-2730
3.09E+05,17116,67,11120,427,-9899
4581,5407,10,344,82,-2669
50.23,2633.1,8,5,33,-394
7517.3,5447.2,75,457,104,-1975.5
60188,12233,24,2754,247,-5470
6675.2,7381,32,428,108,-2106
51180,10974,96,2534,209,-4391.4
1.17E+05,15276,76,4717,418,-12641
60616,13414,32,2754,247,-454
39131,11234,27,2118,193,-3845.4
1.42E+05,14057,48,5844,315,-5540
93227,14703,47,3802,311,-5737
8778,8413.9,11,317,108,-2836
49812,11268,16,2677,216,-5010
52028,9465.8,43,2599,188,-3030
1.50E+05,18490,163,5847,362,-7115.4
11850,6109.9,19,765,105,-1935
52002,9753.6,41,2599,188,-2640
12258,9142.5,5,618,152,-3883
4.13E+05,22006,67,14125,473,-8410
1.16E+05,15559,61,4426,271,-5020
37918,8146.2,13,1885,196,-2800
12798,7083.6,16,806,132,-2852.3
53118,14298,24,2331,280,-6987
80511,14708,71,3466,320,-7022.1
8053,8846.5,9,397,109,-3018
55706,10141,67,2897,222,-5761
12984,7280.6,14,765,105,-1720.3
2.18E+05,16652,62,8473,431,-11329
34280,10099,129,1691,208,-4411.6
16360,8231.3,24,803,120,-4554
33581,11725,31,1111,166,-439
2.99E+05,25200,89,8870,540,-10900
7105,5571.4,31,486,101,-3007
1.40E+05,13322,44,5844,315,-6180
50307,11325,27,2677,216,-5570
26548,8971.8,69,1519,187,-4953
60608,13120,36,2754,247,-4920
13663,6668.3,18,804,96,-1590.5
1.41E+05,14316,195,5733,297,-6434
11146,5895.5,23,764,102,-1910.7
4322.1,5029.2,12,340,72,-1306.5
57.216,2487.6,96,5,33,-360
68094,9525.4,24,3041,167,-4216
60256,13064,34,2754,247,-4970
58252,14866,34,2188,215,-4730
13600,6510.8,14,804,96,-1532.9
33411,11858,26,1581,234,-2070
1.62E+05,18500,78,6290,388,-7650
57.743,2214.1,96,5,33,-330
47934,12056,17,2188,215,-4850
4440,5645.1,21,292,88,-1260
70202,12836,43,3211,262,-5586.9
1.14E+05,11409,51,4905,235,-3400
69765,12380,150,3378,278,-8529
27497,8802.6,45,1364,156,-1910
13728,6729,22,804,96,-1531.8
5310.6,6904,73,346,107,-2303
1.64E+05,17582,72,6744,352,-7190.8
56199,13122,147,2392,245,-5313
1.43E+05,16676,188,5847,362,-7397.1
1.62E+05,17396,42,4343,313,-8272
1.61E+05,18402,80,6290,388,-9540
52738,12381,42,2192,224,-3420
5264.1,6502.9,9,292,79,-2820
68492,10518,150,3373,247,-5548.9
1969.8,3430.1,7,161,43,-616.39
20763,9556.5,76,1162,163,-3390.2
27642,10951,40,1469,214,-4203.5
40507,10865,56,1994,216,-6896
56366,11053,39,2465,252,-6856
73644,12114,22,3630,249,-4430
1.02E+05,11449,30,4523,270,-6348
2.51E+05,15847,105,10383,387,-7825
1.73E+05,16341,88,6746,403,-6960
2183.6,4096.1,20,165,54,-1044.3
55584,10047,19,2385,181,-4588
29721,9408.6,14,1160,154,-3886
4.70E+05,24079,41,15505,483,-12700
27743,10322,41,1521,194,-2230
7536,6159.8,52,545,93,-1600
10605,8950.2,88,490,130,-2624
35637,10508,28,1692,205,-3479
1.42E+05,14878,49,5844,315,-4310
1.18E+05,12520,44,4905,235,-3190
4.11E+05,20184,69,14125,473,-11300
59358,12748,54,2822,223,-2970
26209,9827.1,32,1415,174,-3364.7
2237.3,5356.8,18,185,82,-1627.3
47679,8731.2,48,2321,181,-3458
24049,8902.1,24,1252,154,-2939.3
1.42E+05,13796,191,6057,308,-6301.2
38044,10799,99,1751,205,-3925.8
13298,8203.2,9,549,112,-3344
1.85E+05,20373,75,6746,403,-4140
67923,16077,56,2757,320,-7447
26717,9269.4,45,1415,174,-3419.4
7573.9,5721.1,77,457,104,-1882.8
4306.4,5240.5,9,317,79,-979
61529,13237,33,2754,247,-5170
10544,8044,87,587,139,-3036.1
4223.9,5213.6,13,292,88,-1530
36430,9976.3,117,1691,208,-4388.1
27545,10558,28,1415,174,-3226.7
1.41E+05,13697,53,5844,315,-5010
52218,13301,52,2334,288,-6156.9
6141,6178.8,231,427,114,-2714
20199,8872,31,1158,157,-2388
4.08E+05,22220,55,14125,473,-7820
38919,9609.7,25,2118,193,-4268.6
4789.5,5241.4,22,343,85,-1210
67884,13504,53,2192,224,-2970
4.44E+05,16475,70,15662,384,-8376
60134,12106,126,2535,263,-9203
3.93E+05,17949,81,14125,473,-8190
20602,9006.2,95,1162,163,-3508.8
5.36E+05,20872,246,17130,525,-17665
10163,9483.9,41,587,154,-2240
5303.7,6912,55,346,107,-2125.1
4175.5,5896.2,122,318,88,-1540.6
38428,10012,15,2118,193,-4134.9
6868,7754.3,21,429,139,-2778
11152,7234.9,59,657,132,-3760
1.48E+05,14938,58,5848,330,-8753
25719,9245.5,19,1408,166,-3661
51744,13662,61,2334,288,-5919.2
60208,11563,67,2822,223,-434
4215.5,4826.9,16,317,79,-1500
36702,11893,146,1586,242,-7769
25538,8005.8,38,1364,156,-2080
47998,10325,66,2250,191,-6436
70075,12815,43,3211,262,-5557.7
2174.1,3997.7,20,165,54,-1109
8792,6432.9,39,515,102,-2015
11375,9467,24,552,152,-2667
10627,8767.2,88,587,139,-2713.1
9947,7209.3,23,618,132,-2673
3.09E+05,26583,114,9559,585,-15417
1656,4830,13,147,76,-1555.8
5.17E+05,22842,135,18067,540,-11515
41648,8876.4,25,1929,165,-3024
2001.6,4129.2,5,166,63,-1078.2
4.14E+05,22057,62,14125,473,-9480
1961.2,4139.3,5,166,63,-1102.8
20578,8761.3,145,1161,157,-3896
23786,8966.6,21,1252,154,-2835.3
1.62E+05,16728,76,6744,352,-7754.5
9286.5,7297.5,16,554,138,-3182.1
1.02E+05,12448,116,4148,275,-7019
1.39E+05,18661,105,5537,449,-3790
4.79E+05,25408,55,15505,483,-12300
73674,12108,22,3630,249,-3170
1444.8,3813.5,42,133,52,-992.07
7181.2,5905.5,43,545,93,-1618.8
13790,7038.9,94,809,120,-2390
16349,7918.1,83,848,128,-2410
7732.7,5897.1,73,457,104,-1738.1
12165,8269.9,25,729,150,-3472
17623,8746.4,76,844,142,-2780.9
21649,8087.4,23,1205,148,-5202
5.22E+05,23539,143,18067,540,-11394
2726,5693.3,19,204,96,-4101
4363.7,7633.6,27,271,131,-2835.6
49648,10864,16,2677,216,-4020
1460.9,3959.6,41,133,52,-959.48
6330,4890.6,6,395,76,-1572
77150,13178,99,3466,320,-6907.3
47969,9534.3,22,2677,216,-4490
26212,6698.3,38,1463,136,-2107
12865,7997.2,15,806,132,-2666.6
10420,5596.7,149,759,99,-2176
1.97E+05,19023,50,7459,390,-9060
57.532,2288,92,5,33,-677
66971,12091,203,3063,253,-7173
27832,9395.7,44,1364,156,-2180
1.44E+05,14845,0,5847,362,-6854.4
16584,9395.6,82,973,172,-18.988
27280,8267.6,122,1628,159,-5304
62020,13358,30,2754,247,-4990
7012,6410.8,18,483,113,-2129
7166.2,5611,49,545,93,-1631.2
2.81E+05,22932,73,9276,468,-9585.3
4415.9,5126,34,343,85,-1660
4241.5,5600.5,17,340,72,-1185.8
90020,15482,189,3888,327,-8011.4
13148,7446.7,25,806,132,-2719.1
68409,11931,143,3373,247,-4946.3
68351,11204,147,3373,247,-5259.3
78141,11198,39,3539,272,-8060
23270,8659.2,8,1071,138,-3897
4328.8,5204.8,15,292,88,-1260
9424.8,8103.6,18,554,138,-2999.7
4549.7,5795,22,340,72,-1197.5
12000,6796.9,9,765,105,-1773
4914.6,5815.5,20,343,85,-952
2989.1,4715.8,45,224,67,-1270.4
1.16E+05,15776,58,4426,271,-5710
25388,12539,41,1068,213,-4840
9437,8108,81,490,130,-2986.4
91755,13846,62,3885,254,-5920
27005,9239.3,30,1414,166,-2980
2.00E+05,21634,61,6413,408,-10447
52.174,2598.3,92,5,33,190
3289.4,4581.7,34,249,71,-1355.1
5350,4763,8,424,80,-842
16001,10793,43,814,192,-7076
48829,13538,56,1581,234,-2700
18701,8046.1,21,1068,153,-4411
1.58E+05,20313,120,5537,449,-4330
4152.7,5818.8,116,318,88,-1500.1
1.61E+05,18166,78,6290,388,-2670
30797,10236,102,1747,171,-3015.4
57089,10189,42,2754,247,-5020
9547.8,7813.7,17,554,138,-2881.4
2.57E+05,18286,63,9397,424,-10560
12852,7699.2,15,806,132,-2762.2
75890,12843,30,3625,275,-6717
4.74E+05,25523,61,15505,483,-11200
53006,9858.3,35,2599,188,-2920
6481,7291.1,10,372,119,-2528
2791.1,5110.8,36,224,67,-1180.4
1450,3822.6,42,133,52,-993.86
5136.5,5587.2,10,292,79,-1290
9517.1,8033,89,490,130,-3021.6
12199,8224,80,693,128,-2580.6
2.95E+05,20670,124,10401,534,-11767
36966,10456,34,2118,193,-3677.6
5459,4764.9,18,398,84,-1795
12428,9067.8,67,693,128,-2391.3
16387,9510.3,83,973,172,-7.3957
52.778,2475.1,8,5,33,-596
73425,12423,26,3630,249,-3680
1.02E+05,14194,33,4521,314,-6909
4.66E+05,24224,57,15505,483,-12700
1.55E+05,13521,53,4334,245,-7404
80707,15115,69,2059,223,-1440
49362,11509,32,2188,215,-5720
50972,12895,34,2464,234,-5290
67583,10981,45,3146,270,-5248
3448.6,5105.4,50,132,51,-802.89
19541,7485.6,14,973,119,-2580
27663,9047.6,28,1364,156,-2040
2788.7,4391.8,36,204,54,-982.01
93868,12819,135,4057,248,-6065
85586,10381,22,3450,220,-2480
13644,7503.6,25,769,148,-2684
6044,6904.2,19,249,100,-2426
48.063,2533.1,96,5,33,-454
13783,8552.7,20,729,148,-2947.7
9528.9,8273,16,554,138,-2821.1
1.95E+05,17238,78,7345,403,-10008
8002,8302.2,55,488,148,-4201
44577,12838,74,2061,273,-5856.5
75826,11710,26,3794,249,-4969
77348,13583,33,3211,262,-5573.4
19831,8458.8,87,1162,163,-3547.9
4277.8,5062.1,11,317,79,-2100
14236,8179,50,931,138,-3270
1.41E+05,14869,64,5844,315,-4940
38992,9436.9,21,1885,196,-1530
2996,5389.7,44,224,67,-1188
1.79E+05,18132,68,6746,403,-5960
2.69E+05,24755,107,8350,537,-10800
14095,6818.4,82,809,120,-2431.6
18248,9844.3,101,939,205,-5575
52660,13888,51,2334,288,-6138.5
4094.8,4800.8,27,340,72,-1335.2
47101,12916,55,1998,247,-4623
1.10E+05,14522,31,4619,322,-6240
1.90E+05,14854,35,6859,304,-7869
1457.4,3862.3,41,133,52,-1006.9
28013,8942.7,93,1521,156,-2844.6
4468.7,8379.7,37,271,131,-2556.3
1.55E+05,15580,200,5854,334,-7893
1456.3,3751.1,42,133,52,-982.03
1.64E+05,15863,214,6634,348,-8855
13404,6810.9,31,804,96,-1485.6
4.76E+05,23724,81,15505,483,-12700
1.70E+05,20350,200,4534,396,-8002
10324,6815.8,15,689,109,-3380
1171.8,3893.2,39,102,51,-948.22
33788,10803,22,1581,234,-3030
12007,7383.8,26,768,145,-1608
26582,9390.2,67,1414,166,-2210
37799,12831,40,1812,254,-3095
10442,6626.5,16,689,109,-3180
7338,7474.3,28,483,106,-2444
37485,11209,111,1751,205,-3744.3
52085,12301,52,2192,224,-2980
33415,9626.9,95,1922,176,-3555.9
87103,11253,17,3450,220,-3160
37402,10336,34,2118,193,-3811.3
12818,7649.2,15,806,132,-2907.8
79643,12823,47,3539,272,-5950
5227.3,6897.2,59,346,107,-2159.2
64801,12778,29,2679,246,-5552
2818.8,5131.6,30,205,77,-1202.2
49792,11337,24,2677,216,-4060
9.24E+05,28837,168,26045,887,-20947
27625,10740,29,1414,166,-2960
21043,8939.4,40,1019,149,-3563
26335,9517.9,26,1415,174,-3328.6
6019,6611.8,20,400,119,-2413
78492,12393,46,3539,272,-4680
1.62E+05,16033,79,6744,352,-7851.2
9556.4,7787.9,43,587,154,-2020
26159,9292,31,1519,157,-3008
11155,5646,17,764,102,-1916.2
39762,10724,135,2125,233,-4498
36761,9213.4,48,1997,196,-4570
2.78E+05,23370,68,9276,468,-6233.8
11466,9291.3,43,654,156,-2996.5
26162,7852.9,96,1521,156,-2936.9
9787.2,7810.8,67,517,107,-1801.4
12344,9495.8,89,619,136,-2683.8
9265.5,7067.6,19,554,138,-3133
2.51E+05,20937,64,8870,540,-12500
1.64E+05,16651,67,6744,352,-7383.2
1.17E+05,12818,41,4905,235,-2210
59667,11467,41,2822,223,-4610
29452,8629.7,99,1633,183,-4554
4683.1,5659.4,20,343,85,-966
74258,12295,37,3630,249,-2870
12168,8450.6,93,619,136,-2778.2
4738.1,7932.9,36,271,131,-2734.3
4068,4513,23,340,72,-1363.3
1.82E+05,19505,69,6746,403,-4710
7251.6,5797.3,50,545,93,-1767.7
22695,9406.5,11,1111,166,-2250
73524,12478,26,3630,249,-4190
14064,7366.1,97,809,120,-2341.5
26192,9749.6,25,1415,174,-3412.9
49.446,2584.1,6,5,33,-511
1492.2,4129.8,41,133,52,-912.23
27206,10943,34,1111,166,-584
50216,14337,39,2464,234,-3650
1.61E+05,18143,93,6290,388,-9870
12478,8630.4,77,693,128,-2389.9
51235,13848,38,2464,234,-3630
21257,8267.4,12,1261,166,-5098
36166,12130,31,1111,166,-1230
1.18E+05,13440,53,5124,300,-9183
57885,12407,42,2607,268,-7468
1776.8,5335,26,147,76,-1451.6
1.43E+05,13855,157,6057,308,-6138
5265.4,5996.4,21,343,85,-2280
20768,9017.8,41,1024,165,-3656
1.16E+05,16150,57,4426,271,-5310
16539,8467.4,49,889,149,-4180
4803.2,5876.6,21,343,85,-1770
71.365,2389.1,96,5,33,-387
1.40E+05,14638,42,5844,315,-4240
28844,9019.1,31,1626,179,-3358.9
4064.8,6594.9,41,270,101,-1839.7
10440,6683.3,13,689,109,-2580
12235,7767.3,13,765,105,-1670.8
49720,9737.3,32,2677,216,-6830
1.02E+05,13197,82,4345,329,-6058
30523,8977.6,27,1513,132,-1998.3
53420,10171,6,2596,191,-4262
14318,6875,84,809,120,-2524.3
51111,12962,47,2396,286,-6605
2.10E+05,20832,80,5215,327,-7060
1.13E+05,12529,43,4905,235,-2810
1.76E+05,17654,69,6746,403,-4550
4.33E+05,22309,114,13655,577,-19270
26340,10191,52,1469,214,-4383.6
1.66E+05,17826,65,6299,445,-12641
43581,10984,191,2061,230,-6839
14869,8230.9,20,807,138,-3202
39129,9698.1,11,1885,196,-2670
32884,9289.9,90,1922,176,-3661.6
15450,7639.4,286,890,146,-3204
14014,7475.8,97,809,120,-2337.9
88831,13436,58,3051,250,-4810
11240,6048.7,25,764,102,-1890.3
77711,13570,52,3452,300,-6402
1430.1,3786.1,41,133,52,-970.09
4.79E+05,25263,54,15505,483,-11200
2.00E+05,18135,48,7459,390,-7590
17156,9210.5,34,931,183,-4288.3
7274.1,6339.4,45,545,93,-1554.7
75057,13434,202,3463,310,-7018
9073,6561.8,21,587,109,-1839
26364,9836.2,25,1415,174,-3341
8800,7667,10,552,136,-4650
53.729,2441.2,92,5,33,49.1
64.357,2606.9,8,5,33,-474
18564,7059,23,1109,149,-4310
4368.5,5281.2,16,292,88,-1530
1.11E+05,16894,32,4619,322,-5480
4260.8,6194.1,95,318,88,-1134.6
28842,8797.6,25,1364,156,-2790
26544,9606.9,13,1414,166,-2440
27503,9715.6,24,1521,194,-2000
26203,7673.9,315,1408,140,-2847
1.72E+05,15835,198,6855,365,-9217
16666,7743.2,79,844,142,-2882.2
7586,5673,73,457,104,-1876.4
13299,6979.6,25,804,96,-1492
28495,9088,32,1626,179,-3478.5
15793,7458,64,970,134,-2709.1
16768,7907.1,73,844,142,-2837.9
41347,11381,40,1414,166,-2130
10368,7064.3,13,689,109,-2080
38074,10210,116,1751,205,-4392.2
28951,8831.5,34,1626,179,-3431.8
10534,5884.1,38,653,113,-1654
40398,10428,68,2181,159,-2574.8
1.41E+05,16996,240,5114,349,-9108
9576.3,7464.9,16,621,123,-2436.4
59349,13001,60,2822,223,-2450
71083,10631,83,3538,240,-5818
2.17E+05,15794,44,8323,338,-9819
30172,9337.7,121,1747,171,-3232.8
29812,9387.4,125,1747,171,-3347
24105,7905.8,23,1408,152,-2635
53225,11431,111,2391,255,-5573
30067,9537.9,36,1469,179,-5280
73495,12014,25,3630,249,-4230
13173,6565.5,20,804,96,-1572.9
79935,13338,56,3539,272,-5700
36984,10019,30,1811,196,-3413
4171.2,5559.2,127,318,88,-1553.9
17151,11708,38,519,145,-3230
2.01E+05,16031,74,7345,386,-9010
3020.6,4864.2,41,224,67,-1223.8
25661,8115.2,28,1516,130,-3085
33790,8209.8,92,1744,156,-3368
34346,9943.1,127,1691,208,-4524.7
13101,6504.9,17,804,96,-1608.5
13411,7091.8,22,804,96,-1520.2
51623,12657,42,2059,223,-2130
