Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Category
4616.7,8701.8,46,184,106,-3001,0
23652,8480,20,1251,154,-2668.9,4
9525.7,8132.8,20,553,137,-2890.9,4
28932,8879.5,32,1626,178,-3451.6,5
6168.1,6615.4,24,398,131,-3331.9,0
39338,9619.2,16,1884,196,-2731.2,3
5030.5,6771.3,59,347,108,-2188.5,2
50059,9052.1,38,2598,189,-2647.8,4
2.03E+05,18099,82,7338,385,-7716.8,0
26159,9162.6,24,1414,174,-3338.7,4
8914.1,7656,25,516,101,-1027.2,5
4754,8419,26,270,131,-2634.3,4
29304,11393,17,1162,183,-3707.2,0
4588.3,6751,12,205,86,-1908.9,1
9586.4,7845.7,101,489,129,-2946.8,2
1.61E+05,17020,77,6290,387,-11600,3
1455.5,3773,37,132,53,-956.32,2
2966.2,5070.4,44,224,66,-1194.2,4
13458,8795.6,24,729,147,-2941.2,4
2.68E+05,19648,77,8464,357,-5991.4,0
37145,12006,37,1110,165,-1010.3,4
90470,13204,47,3886,255,-5529.2,3
52896,9422.5,32,2600,188,-2858.4,3
3038.2,5047.3,39,248,72,-1152.7,2
1.82E+05,19382,73,6747,402,-5291,4
49698,13250,34,2465,235,-4120.2,4
5.17E+05,26931,111,15001,562,-14280,0
1.11E+05,12041,40,4523,256,-5399.5,0
83890,10737,24,3450,219,-2698.1,3
4704,5385.4,12,316,78,-1121.2,5
21512,8749.7,79,1155,144,-2863.2,5
6660.3,6335.6,173,485,109,-2499.4,4
18712,11097,32,772,168,-2230.3,4
7715.5,7337.9,20,452,112,-1648.5,4
96340,13541,56,4249,294,-5745.2,4
11163,8691.1,49,654,157,-3199.9,5
1.92E+05,16318,229,7337,359,-8499.2,0
63.562,2463.7,7,5,32,-332.71,4
5906.8,5982.2,16,369,92,-2219.7,0
98481,14527,55,4249,293,-5677.6,5
36238,9838.9,116,1870,195,-4585.4,0
7624.3,6007,76,456,103,-1939.5,2
50.179,2476.4,6,4,32,-560.14,1
50.798,2501.1,6,4,33,-547.86,1
1.60E+05,18985,86,6291,387,-9739.2,3
77027,13573,39,3216,263,-2788.9,3
10554,8799.5,86,588,140,-2748.3,3
4076.2,7015.8,71,248,102,-2320.4,4
1940.3,4393.9,6,165,64,-1078,3
11393,8167.7,13,695,138,-2377.4,0
1.40E+05,16263,89,5538,450,-12302,2
26053,8470.9,39,1365,156,-3229.3,3
14338,7512.5,77,809,121,-2272.7,3
38197,10467,18,1876,213,-4909.5,0
1.28E+05,16366,67,4722,363,-8240.1,0
59431,14244,146,2609,305,-6576.2,2
18954,11564,8,895,182,-3677,0
3.02E+05,26159,112,6646,540,-10455,0
27886,9574.6,34,1416,186,-2300.1,0
69637,11760,151,3374,246,-5078.9,3
5.16E+05,22124,141,18067,539,-11460,4
1820.9,5344.7,16,148,76,-1469.1,5
7671,6164.3,19,516,102,-2201,4
58077,12562,37,2605,232,-6110.5,0
4373.9,7257,12,205,85,-2311.1,2
1.61E+05,18527,97,6289,387,-9760,4
35209,10458,109,1692,207,-4225.1,5
27593,9661.4,25,1413,166,-2369.7,3
33280,9519.6,96,1921,177,-3498,4
45465,12097,17,2003,228,-5159.3,0
10218,10255,38,587,153,-2180.4,3
96593,13973,43,4246,276,-7285.9,0
49.362,2632.1,8,6,34,-395.05,1
10073,7864,30,621,123,-2383.1,5
31750,8214.3,29,1869,160,-4094.7,0
4.79E+05,23930,61,15506,483,-11400,5
22831,8365.5,25,1308,157,-4348.7,0
22293,9767.8,31,1163,191,-4783.2,0
1.61E+05,19248,71,6289,387,-10601,4
27059,10448,63,1212,180,-3975.1,0
13376,6896.7,31,803,97,-1497.5,3
11694,9148.5,45,654,156,-3087.5,4
5175.7,6704.1,59,345,107,-2108.8,3
2127.3,3777.6,22,166,53,-1068.6,2
1.15E+05,11505,43,4906,234,-5189.7,2
9320.7,7158.6,25,553,139,-3073.1,2
35663,10145,114,1690,207,-4275.1,4
11997,6677.5,4,766,105,-1832.1,2
9092.8,6999,44,584,125,-2356.7,0
40221,12601,59,1581,233,-768.74,2
1.26E+05,15347,36,5221,335,-9605.5,0
3642.8,6187.7,38,205,84,-1577.9,0
2.38E+05,19441,125,8483,508,-12171,0
49.046,2604.8,5,4,34,-518.66,1
3.04E+05,21930,183,10399,498,-15328,0
1.42E+05,13795,192,6057,308,-6301.5,3
12152,7619.1,41,695,130,-2573.6,5
57467,13627,66,2192,223,-3260.6,5
1.08E+05,13958,54,4426,272,-5189.8,5
28818,10197,23,1521,193,-2610.4,4
1.80E+05,20067,81,6747,403,-4338.9,3
12823,7850.8,16,805,131,-2740.6,4
22860,8748.7,25,810,113,-3547.6,0
26925,8935.9,94,1402,159,-3032.3,4
1.61E+05,18788,71,6289,388,-9590.5,3
26786,8929.2,44,1521,170,-5331.3,0
24769,8740.9,73,1362,155,-3954.2,0
11655,6258.9,18,764,106,-1852.2,3
1712.3,5761.7,20,148,76,-1373.7,5
1.08E+05,15105,43,3982,311,-7102.4,0
12346,6532.7,16,765,106,-1850,3
9524.4,7752.4,98,490,129,-3050.6,2
2179.7,4032,29,166,53,-1013.6,2
59671,10805,195,3052,256,-5678.7,0
4213.3,5223.8,20,291,88,-1430.3,2
11779,9180,43,655,156,-3012.3,4
1463.3,3539.1,26,101,41,-597.59,4
72636,13064,33,3211,262,-5461.4,5
1.42E+05,13127,166,6056,309,-6271.6,3
4111.2,5223.3,11,318,78,-783.44,3
9227.3,7654.6,17,553,137,-3065.2,2
40154,9751.8,27,1886,195,-2610.9,3
8011.9,8414.7,35,486,132,-2648.9,0
4.73E+05,25327,52,15505,484,-10300,3
79590,13110,48,3539,271,-4070,4
34465,9712.2,69,1921,176,-3595.5,4
1457.9,3775.8,39,132,51,-965.63,2
1.44E+05,13560,39,5018,248,-4955.9,0
94855,14754,50,4249,293,-5476.3,5
4327.1,5160.2,16,291,87,-685.18,2
4056.6,7002.8,73,249,101,-2264.7,4
5008,6897.8,72,347,106,-2219.7,3
10981,5706.4,23,764,101,-2102,4
35170,9699.5,125,1690,209,-4451.7,5
3233.2,6342.5,18,187,79,-1672.9,0
50394,8786.4,23,2600,189,97.244,4
1.55E+05,17042,208,6071,381,-13760,0
1.54E+05,17688,79,5537,449,-11300,2
10260,6630.4,17,690,109,-3059.8,3
21946,8994.1,81,1166,152,-2854.6,4
1471.9,3957,42,132,51,-944.34,2
2208.9,3841.4,6,162,44,-560.85,5
79811,13214,57,3540,273,-5450,3
5271.9,6930.6,65,346,108,-2168.8,3
55255,12652,71,2533,208,-4262.1,5
4557.7,7255.3,32,271,130,-2733.1,5
71038,12119,36,3210,261,-5740.3,5
26167,8120.9,32,1363,156,-3106.7,2
5002.1,6634.4,72,346,108,-2211.1,2
1.04E+05,10788,85,4803,236,-4702.7,0
3853.6,4736.9,19,317,79,-1339.4,2
10540,8292,90,588,138,-2965.2,2
73230,12966,178,3458,282,-6850.4,0
16847,8687.1,35,930,182,-4303.7,1
95273,14357,36,4248,293,-5719.9,4
14075,7145.2,89,810,121,-2340.4,3
39257,9492.3,20,1884,195,-2970.6,3
3.16E+05,21859,101,10105,467,-11334,0
25806,9575.4,29,1416,174,-3348.3,4
37515,8380.8,100,2055,181,-1311.3,5
50686,12157,37,2464,234,-6419.1,2
1.06E+05,13222,26,4808,263,-5545.8,0
1.21E+05,14120,27,4918,305,-8282.7,0
75946,11661,40,3545,254,-7403,0
88233,11554,28,3450,221,-3111.1,4
2634.1,7014.2,13,131,75,-855.32,0
36793,10012,35,1996,197,-3418.3,4
20389,8062.9,7,972,119,-3239.2,4
13148,7447,25,807,132,-2717.5,5
4321,5383.5,13,291,89,-557.12,1
32135,9746.4,45,1690,166,-5479.2,0
7105.2,5570.1,32,487,102,-3007.6,0
52736,11587,20,2676,215,-4529.4,3
41302,12055,113,1877,221,-4261.8,0
4.03E+05,20971,106,10834,483,-9733.1,0
27565,9300.4,32,1363,157,-2589,3
25999,9790.3,27,1414,174,-3324.4,4
6585.9,5949.3,49,398,110,-2843.6,0
7534.7,6400.6,33,546,94,-1459.4,5
10425,7536,22,621,122,-2417,4
1011.6,3243.1,21,101,52,-905.72,5
3.08E+05,21662,88,9826,490,-8314.7,0
5208.4,5445.7,21,342,85,-1702.4,1
3986.9,6895.4,77,248,102,-2272.3,4
4.15E+05,21834,69,14126,472,-9910.9,3
4.79E+05,25519,55,15504,482,-11699,5
25454,8632.7,27,1409,167,-3810.8,0
1211,4493.7,33,101,50,-787.21,5
26709,9182.6,32,1365,156,-2730.5,3
76455,11748,41,3294,283,-4753.1,0
2.35E+05,18516,73,8214,405,-6751.8,0
7080.4,5494.8,44,546,93,-1684.8,4
61873,13288,31,2753,246,-5940.4,3
27170,9275.4,38,1363,155,-3009.7,3
16688,9097.5,86,974,171,-4158.6,3
80132,11352,167,3799,278,-8135.3,0
46073,14156,64,2060,274,-5779.6,3
14429,7433.1,82,809,120,-2304.5,4
2952.9,4868.6,47,223,66,-1236.9,2
1646.7,5098.4,36,134,51,-756.3,3
50808,13313,32,2465,234,-3459.5,3
2.38E+05,23430,54,7839,452,-9215,0
1.61E+05,18507,71,6745,352,-6350.5,2
4520.9,6530.5,19,337,89,-2878,0
1.66E+05,13653,76,7207,321,-7525.3,0
6299.7,6318.8,38,460,93,-1643.1,3
48805,12034,20,2189,214,-5701,3
96387,12696,41,4070,285,-7026.2,0
57935,12979,46,2193,223,-4062,4
51280,13899,63,2464,233,-4118.9,2
32237,11381,39,1580,233,841.63,2
10324,6815.8,15,689,110,-3379.7,3
7322.9,6329.7,51,544,93,-1618.6,2
2.81E+05,23469,81,9275,468,-9572.2,5
34177,10192,80,1922,177,-3452.2,4
54068,14364,40,2189,216,-5067.1,3
66820,13852,50,2191,225,-3828.8,4
2247.6,3826.5,19,164,53,-1104.3,2
12076,9097.5,79,618,136,-2577.7,4
2375.5,4698.9,44,131,51,-823.92,5
32823,10473,72,1921,177,-3321.3,4
27019,9535.3,26,1413,167,-1821.5,5
46871,12963,67,2060,274,-5950.1,4
49.261,2402.3,93,6,32,-587.29,3
78618,12666,48,3538,273,-5999.7,4
21299,9730.9,75,1116,153,-3546.1,0
4794.2,5745,23,344,86,-968.33,1
25238,8527.6,29,1520,157,-3234.8,3
4.72E+05,25406,39,15505,483,-9620.9,2
55316,11193,34,2529,227,-6166.2,0
20406,8127.2,87,1163,164,-3543.4,4
49900,11145,146,2252,226,-5125.4,0
9263.3,6809.7,22,582,126,-2558.1,0
3252.7,5013.4,37,248,70,-1184.6,3
7434.7,5878.2,46,544,93,-1600.3,3
12901,7957.2,15,807,132,-2779.9,4
19149,7981.6,18,1062,144,-3628.2,0
69199,11855,145,3373,247,-5138.8,1
1.15E+05,11955,41,4906,234,-2330.5,2
30535,9300.5,130,1748,171,-3424.3,5
1.18E+05,17903,36,2911,315,-5752.3,0
46419,12668,56,2061,274,-5918.1,4
11298,8969.6,34,653,156,-3094.1,4
4031.7,4631.6,31,293,87,-1428.6,3
1.61E+05,19052,91,6291,387,-7749.4,4
2.28E+05,22453,104,7349,499,-13851,0
4266,5472.6,10,317,78,-878.22,2
25019,8234.1,29,1520,156,-3251.9,3
27292,8425,82,1520,156,-2967.7,5
6.10E+05,33257,66,15175,619,-15475,0
51678,13540,45,2464,233,-2869,3
1939.4,4271.6,5,167,63,-1050.8,3
2.57E+05,22061,86,8869,541,4752.2,4
1.40E+05,14818,48,5845,314,-4060.8,4
36752,9783.2,40,1997,197,-3060.7,4
8550.9,6495.5,37,513,106,-1956.4,0
2060.4,4485.8,5,166,62,-1022.9,3
38138,9517.6,39,2055,180,-3791.8,5
70827,14116,68,2191,225,-3210,2
2.45E+05,20678,89,8871,541,-13001,3
96479,15526,62,3885,254,-4808.9,4
1.17E+05,13210,55,4729,314,-5825.9,0
9120.2,6928,17,515,103,-2010,4
36202,9829.8,47,1876,184,-3624.3,0
3014.8,4907,42,223,68,-1230.2,5
5145.7,5687.7,23,344,84,-1830,1
91996,12035,30,3451,219,-2749.9,4
60658,12955,23,2753,246,-5130,3
2733.8,5435.9,36,223,67,-1113.3,5
45550,12406,55,2060,273,-5418.8,4
12028,6467.1,8,764,104,-1815.2,3
28495,9089.4,31,1626,180,-3476.4,4
49000,11460,60,2329,228,-5153.6,0
6572.5,6614.9,21,394,119,-2790.2,4
4.11E+05,19736,66,14126,472,-11199,3
1.52E+05,17148,39,5526,346,-7286.8,0
3096.3,4870.6,49,224,68,-1273.2,3
88831,13435,59,3051,249,-4810.3,0
3060.7,4456.9,31,248,72,-1245.5,4
2995.8,4868.1,41,225,66,-1275.2,5
1.55E+05,20109,66,5538,450,-8388.5,2
60690,12972,26,2755,248,-5301.7,3
13491,8378.6,20,728,147,-3015.3,3
3.71E+05,23804,131,10110,485,-13779,0
40710,12921,41,1581,233,-3249.2,2
3.05E+05,18883,108,11420,425,-10967,0
72586,12582,49,3211,262,-5495.6,5
2163.3,3917.3,20,165,54,-1158.2,2
2034,4505.5,6,166,64,-1032,3
2.84E+05,26686,84,8870,540,-12401,4
1.78E+05,18599,73,7215,439,-7651.1,0
16169,10528,128,770,165,-4359.7,0
9163.9,7731.1,19,554,138,-2923.1,3
1.61E+05,18578,84,6289,389,-3689.7,3
80555,15343,69,3466,319,-7182,5
1.28E+06,39680,187,31308,980,-21710,0
40667,9935.5,114,2060,206,-3910.4,0
14088,9247,34,730,148,-2778.9,4
3631.9,5786,26,250,70,-993.28,4
13248,6435.8,10,803,95,-1686,0
10299,9951.1,34,587,153,-1928.8,3
16767,7907,72,845,141,-2837.8,5
51661,11297,17,2677,215,-4829,5
28967,9476.5,42,1414,167,-2518.8,5
4607.1,8178.6,27,271,131,-2677.5,4
59246,12112,199,2689,292,-6842.2,0
69025,11280,146,3374,246,-5196.6,1
45619,13692,43,1581,235,-2481.2,2
16576,8003.1,19,929,128,-2569.9,0
5358.4,7021.3,17,293,78,-2081.5,2
4052.1,4758.7,46,292,88,-1151,4
37500,9699.7,56,1936,204,-4881.5,0
20351,8919.8,82,1162,162,-3370.6,4
27356,8744.9,19,1523,174,-4792.1,0
1.02E+05,14532,168,4060,280,-5460.9,4
1.36E+05,15918,85,5538,449,-9849.7,2
1.63E+05,22463,117,5538,449,-7109.9,3
38890,9708.1,12,1886,195,-2609.7,2
62380,12758,47,2747,237,-5684.1,0
50985,12987,32,2464,233,-4319.2,2
13859,7340.8,86,808,120,-2365.6,3
28902,8668.1,39,1627,179,-3460.7,5
41421,10712,133,2318,196,-4330.9,0
22723,10646,33,1114,210,-3295.3,0
10119,9343.9,35,588,155,4318.9,2
38614,10854,21,2117,193,-3776.4,3
49929,10349,45,2531,254,-5396.7,0
79445,14604,71,3467,320,-7371.2,4
1.22E+05,15639,27,3713,271,-8487.5,0
2.39E+05,20693,98,8351,537,-8619.6,3
10705,7129,28,653,113,-2051.1,0
13640,9363.6,9,728,149,-2868.6,4
26297,7577.1,10,1354,127,-5128.1,0
71965,10470,25,3454,241,-9357.6,0
7.21E+05,34612,209,20238,702,-17357,0
3369.3,5890.5,15,205,86,-2770.4,4
55213,12607,20,2676,216,-3889.5,4
9254.8,7306.5,19,554,139,-3098.1,2
2943.3,4830.1,33,248,70,-1175.6,2
73719,12203,28,3630,248,-4679.6,2
3993.7,6888.5,70,248,102,-2255.3,4
3712.4,4953.4,11,291,80,-2339.1,4
60650,13138,27,2754,246,-4751.2,3
1.48E+05,18900,77,5536,449,-10098,2
9305.4,7027.9,15,553,117,-2824.2,0
2.60E+05,23562,103,8351,536,-6169,4
1421.7,4042,31,134,51,-53.409,5
17285,8046.2,48,852,171,-3524.9,0
1.30E+05,14613,213,5529,323,-9768.2,0
4137.9,7096.4,69,248,102,-2390.6,4
81125,12706,75,3539,273,-4320.4,4
50388,10420,27,1866,194,-3641.3,0
4091.8,5093.2,18,317,79,-251.86,2
4859.3,5647.2,15,343,85,-996.66,1
8873.9,7809.4,15,487,120,-3126,0
7567.1,5717.7,77,458,103,-1886.2,2
11286,8752.6,47,655,156,-3196.7,4
4057.7,7051.2,75,249,101,-2282.5,4
50314,11452,28,2678,217,-4910.9,3
21481,8998.6,28,1159,140,-2199.6,0
60694,13072,35,2754,248,-3529.8,4
3693.6,5046.8,10,292,79,-2369.5,4
13515,8534.6,15,729,148,-2971.1,3
62569,12212,222,2978,272,-7574.3,0
60574,13294,26,2753,246,-5569.8,3
5250.9,6860.7,62,347,108,-2160.5,3
4912.3,5890.5,30,343,86,16900,2
52198,10971,103,2534,208,-4633.9,4
11072,8444.4,36,653,157,-3182.4,4
11362,8550.8,43,655,155,-3089.2,4
4.15E+05,23587,75,12350,509,-13036,0
30058,9787,104,1748,171,-3190.7,5
96532,12845,23,4156,314,-9250.3,0
35892,8826.7,41,1869,175,-3518.8,0
92140,12334,49,2609,228,-2718.8,0
80016,14082,52,3539,273,-5341,3
2.02E+05,21480,46,7458,391,-7751.4,5
53275,12482,59,2390,229,-5932.3,0
1.25E+05,11171,76,5831,247,-4447.7,0
6941.8,5164.7,10,457,86,-1091.9,0
4081,7188,72,249,101,-2264.9,4
71245,12513,26,3210,261,-5757.5,5
2620.1,4933.1,48,223,66,-1218,4
33881,9271,72,1864,168,-3908.9,0
1360.8,3317.3,1,99,40,-240.43,3
15106,7493.9,10,806,133,-4572.7,0
26971,8062.7,25,1415,166,-3138.9,4
5.16E+05,22054,143,18067,540,-11543,4
50976,9943,59,2192,225,-4329.1,2
2234.1,3810.3,4,162,42,-560.87,5
1560.6,4862,13,147,77,-1581,4
38051,9602.3,46,2054,180,-3744.9,4
4073.5,4283.3,10,316,78,-1540.5,2
31057,8666.7,5,1412,147,-4197.4,0
24778,9714.1,17,1209,170,-5034.4,0
87720,15631,101,3553,321,-7885.8,0
3944.6,4309.4,15,341,72,-1414.8,3
49758,9973.7,20,2245,179,-5556.1,0
5248.1,5655.1,50,364,78,-2305.1,0
10297,6404.1,16,688,110,-3089.7,3
46881,11977,21,2187,216,-5109.9,3
7457,6373.9,49,546,92,-1447.8,3
13101,6506.9,17,805,97,-1609.5,2
4.04E+05,22597,69,14125,472,-8759.1,4
30506,9435.5,80,1748,171,-3190.8,5
46719,13310,67,2060,273,-5752.7,5
64056,12140,40,2751,229,-2971.9,0
4179.5,5380.7,122,318,87,-1498.1,3
78603,14217,80,3465,321,-7115.9,5
25849,9738.3,29,1414,174,-3396.4,4
38030,9214.3,38,2054,181,-3812.3,5
50178,11607,19,2678,217,-4280.6,3
23430,9078.6,76,1264,177,-5935.6,0
48717,9956.2,34,2677,216,-5759.6,3
92755,13128,44,3807,303,-7858.4,0
39996,8943.2,36,2182,182,-3736.8,0
12297,8779,79,694,127,-2344.8,2
42136,10521,63,1523,179,-4848.6,0
5745.1,5712.9,61,427,97,-2012.1,0
26916,10721,47,1470,215,-4343.9,3
59920,14454,164,2610,305,-6746,3
3027,5079,37,250,70,-1171,3
96066,14315,69,4249,293,-5582,5
71552,13365,62,3131,251,-4973.2,0
4.76E+05,25103,56,15505,483,-11198,3
37324,11326,53,1752,199,-3799.9,0
2871.3,5056.3,2,165,58,-1437.1,0
60881,12593,39,2821,224,-3281.7,5
15388,10895,66,813,208,-5282.4,0
53.647,2422,7,5,33,-531.72,1
63236,12822,66,2823,222,-1050.4,4
51619,10585,67,2191,225,-4371.5,2
7566.8,6111.2,52,544,93,-1674.2,3
4200.5,5062.8,12,317,80,-998.96,2
56986,14081,19,1527,221,-7186.5,0
28916,8688.6,25,1627,180,-3410.1,4
58301,11829,65,2822,222,-2350,4
12850,7823.3,15,807,131,-2804.7,4
4768.4,8069.2,22,272,130,-2664.4,5
9761.1,7909.6,96,489,129,-2994.2,2
1.16E+05,16313,56,4426,271,-4260.8,2
31542,10279,124,1691,205,-4372,4
1.64E+05,16306,74,6745,351,-7153.6,2
39335,9412.4,21,1886,196,-2520,3
51541,14132,45,2465,235,-2950.4,3
10365,6565.7,14,689,110,-3320.6,3
27938,9041.5,36,1255,149,-3210.2,0
91534,11961,26,4151,274,-6885.5,0
1.61E+05,18966,81,6289,389,-9930.8,4
25231,7797.9,34,1415,166,-2997.5,4
2.79E+05,21328,69,9275,469,-10125,5
28769,9113.9,39,1626,179,-3317.5,4
1.59E+05,16990,67,6744,351,-7176.2,4
1.46E+05,18750,73,5537,449,-6001.3,2
94549,15035,78,3381,318,-7142,0
79716,12433,55,3539,271,-5810.2,4
60818,13109,27,2753,248,-5812.1,3
90325,13354,60,3885,253,-4657.8,3
1.41E+05,13758,163,6056,308,-6127.8,5
4104.8,5257.8,12,291,80,-1740.3,4
12859,8061.4,16,807,132,-2688.2,4
12021,8204.9,86,693,127,-2600,2
15831,7208.8,67,969,133,-2686.9,3
4274.8,5384.9,13,291,89,-1022,1
2659.9,5521.2,46,134,53,-320.25,4
10430,9946.9,32,586,153,-2028.5,2
40004,11430,34,1932,227,-5264.4,0
1.61E+05,17282,78,6289,389,-10901,4
95592,15156,69,3885,255,-5019.3,4
65272,14291,60,2823,223,-2139.9,5
1.83E+05,18416,97,6869,486,-13418,0
2.17E+05,15795,43,8324,339,-9817.9,0
69210,11407,149,3374,246,-5207.1,1
12823,8010.5,14,805,133,-2687.4,4
2181,4002.5,19,165,53,-1080.9,2
10324,5982,20,688,109,-3238.4,3
10644,8327.7,93,586,138,-2991.1,2
30320,10987,31,1413,165,4969.2,4
4801,5685.4,22,342,86,-1351.2,1
38298,10600,40,1874,203,-4760.7,0
74684,12684,24,3631,250,-3379.8,2
1.40E+05,17752,71,5537,448,-9678.3,2
13929,8666.4,24,730,149,-2836.3,5
4382.9,5243.3,17,292,87,-1381.8,2
11865,7482.7,86,730,133,-3753.2,0
2783.5,4435,45,225,66,-1416.4,4
4511.7,5245.1,9,316,80,-644.69,4
4201.5,5366.1,122,319,89,-1529,2
35215,9948.3,130,1692,208,-4435.1,4
59484,14806,150,2610,306,-6646.9,2
2.40E+05,20731,84,8350,538,-9780.3,3
4306.4,5285.4,11,316,80,-1530.4,2
10228,8056.1,278,620,141,-4707.6,0
32521,10305,96,1636,206,-6420.8,0
74467,12939,26,3630,249,-4232,3
74189,9799.5,38,3533,217,-5106.2,0
1.69E+05,21378,100,5537,448,-21.263,2
13476,8618.1,19,805,133,-2537.5,4
20484,9242.4,101,1161,163,-3391.5,2
1.64E+05,16046,80,6743,352,-7684.6,2
1.52E+05,13070,66,6506,283,-6450.3,0
14060,7071.4,92,808,120,-2361.3,4
80686,12451,30,3539,273,-4560.8,3
5469.8,5812.1,16,342,86,-1551.6,1
10382,8166,52,659,132,-2820.2,0
4079.1,5921.8,9,293,96,-1215.5,0
4170.2,7391.3,71,250,102,-2218.9,4
11196,5800.9,12,764,101,-1966.7,4
70442,12023,187,3210,242,-5427.9,0
26681,7388.6,77,1521,157,-2712.6,4
91285,11976,61,3885,255,-6322.1,5
20183,7904.1,68,1155,146,-3023.6,4
64.139,2578.2,97,6,33,-357.55,2
51461,9523.8,32,2600,187,-2730.4,3
80770,12851,137,3802,333,-7077.6,0
7.44E+05,28243,104,17682,532,-10156,0
37225,11955,38,1111,167,-929.19,4
59210,11990,27,2328,222,-5767.2,0
27928,10108,77,1403,159,-2735.7,4
39562,8955.1,22,1885,197,-3179.9,3
1385.4,3784.4,37,132,51,-982.58,2
1.47E+05,13878,172,6058,309,-6207.2,4
1.47E+05,19289,64,5537,449,-10201,2
39214,9441.4,25,1884,197,-2750,3
1368,4466.8,14,86,69,-1350.3,0
51980,9082.9,25,2599,189,-3410.2,3
4.07E+05,22132,67,14126,473,-8020.8,4
43556,10368,150,2320,215,-5766.3,0
47.254,2363,8,5,34,-462.39,1
1740.6,5550.9,25,146,76,-1453.8,4
7.15E+05,35527,138,16971,687,-10838,0
3.45E+05,21152,100,12025,481,-10613,0
2905.6,4573.3,41,250,72,-1281.2,3
1.71E+05,16565,226,6757,385,-9969,0
41782,10837,147,2067,250,-7338.9,0
26527,9541.8,25,1416,173,-3637.7,4
25801,8641.6,50,1364,157,-2649.7,5
61614,13168,53,2904,319,-8234.6,0
2.03E+05,18446,51,7458,390,-8579.1,4
7286.2,6225.8,49,546,93,-1592.1,2
6867.9,7596,34,429,108,-2069.7,5
4.19E+05,23119,80,13142,505,-10674,0
25514,8366.9,35,1520,158,-3210.3,3
18475,10118,27,1070,196,-6086.4,0
1.12E+05,11253,57,4904,235,-2859.7,3
57336,13677,54,2405,287,-5957.1,0
9202.4,6959.1,19,554,137,-3203.2,3
53.573,2891.5,7,4,34,-267.97,1
4980.7,6878.6,69,345,108,-2163.3,2
77765,13422,27,3210,262,-5625.2,4
2207,3849.6,19,165,54,-1164.2,2
54138,11477,30,2681,254,-7099.9,0
52.983,2555.9,97,4,34,-554.23,4
2.72E+05,23551,85,8870,540,-12701,3
22088,9695.7,43,1314,175,-3920,5
14674,8507,45,811,150,-3018.8,0
17571,9216.5,33,932,183,-4273.2,1
53.757,2404.7,7,4,33,-355.99,2
62405,13891,208,2061,265,-5964.8,0
13866,8896.2,18,729,147,-2881.5,3
11162,8595.3,35,653,155,-3054,4
5.16E+05,23165,144,18067,540,-11615,4
9279.6,7485.2,25,555,138,-3097.2,3
4117.8,5722.6,125,318,88,-1567.9,2
2185.5,3976.6,20,165,54,-1091.5,2
9900.7,7654.6,14,620,122,-2457.9,4
4045.9,7040,69,248,101,-2243.5,4
38360,10627,40,1996,196,-3827.4,4
1.01E+05,12821,24,4821,308,-4643.3,0
27822,8982.9,95,1522,155,-2828,4
1.93E+05,16070,54,7459,391,-9540,4
9377.6,7381.2,15,554,139,-3082.3,2
25078,9002,33,1518,158,-3126.2,3
64963,11106,45,3292,238,-6136,0
17285,7830.3,10,851,133,-4920.7,0
74724,11610,42,3218,263,-5268.2,5
53640,13739,42,2187,214,-4378.3,3
1.67E+05,18752,87,5435,409,-6081.8,0
1.15E+05,15601,53,4425,270,-4970.9,3
79651,12850,61,3539,273,-5740.2,3
29464,8673.1,31,1632,182,-4006.6,0
4.12E+05,21785,68,14125,474,-9220.3,3
25341,8594.1,28,1520,156,-3161.9,2
7680.7,5756.2,71,457,103,-1754.1,2
3.79E+05,20782,72,13465,464,-10141,0
30878,9458.5,118,1746,172,-3141.3,5
5782.7,7817,7,346,120,-2414.4,0
30859,10257,100,1746,172,-3033.3,4
4366.2,5254.9,16,293,89,-1079.1,2
12920,7879.1,16,805,132,-2642.1,4
47328,8963.5,29,2677,215,-4051.9,3
1409.4,3366.7,32,99,40,-661.5,3
12438,7717.4,10,766,106,-1702.6,3
13300,6785.2,20,805,97,-1552.2,3
12093,6554,8,764,105,-1786.4,2
52.598,2419.5,7,6,34,-473.94,1
85337,17122,58,2124,241,-7586.8,0
13585,6799.3,23,803,96,-1466.8,3
62151,12768,214,2759,273,-6806.3,0
39519,11173,69,2117,192,-3839,4
79279,14396,66,3465,320,-7271.6,5
10979,5899.3,33,765,103,-1791.3,4
66690,11572,47,3133,258,-5683.3,0
55358,11740,163,2328,231,-7531.2,0
50977,12589,36,2464,234,-5180.8,2
2.80E+05,25937,85,8869,539,-11501,3
76002,13587,43,3217,264,-4759.9,3
38168,9449.4,43,2054,179,-3669.1,5
30368,9378,120,1747,171,-3296.2,5
52232,9185.6,29,2599,189,-4208.3,4
21410,9188.7,72,1156,144,-2871.1,4
25976,11135,24,1467,196,-4762.8,0
1.09E+05,14688,28,4348,339,-7495.1,0
6914.7,6701.6,50,426,96,-1628.7,5
5.15E+05,23113,144,18067,540,-10361,4
36296,9943.6,44,1996,197,-3819.5,5
13735,9064.5,31,765,172,-4577.7,0
78527,12259,46,3539,271,-5460.8,3
1.00E+05,13457,67,4248,309,-7684.5,0
51208,8987.2,34,2598,187,-3609.3,2
49601,13656,37,2189,215,-4619.9,3
4302.7,5091,17,291,88,-1401.3,2
4112.3,5056.2,47,292,80,-2146.8,0
